timestamp,err_x,err_y,dist_px,base_angle,camv_angle,dirV,dirH
1772320909.3214536,0.5791666666666667,-0.6125,240.28524715429367,92,86,-18133.478068548575,129899.33344725144
1772320909.4869998,0.49166666666666664,-0.6125,228.77936969928035,93,86,-18130.48155052077,129919.47474853297
1772320909.6525548,0.425,-0.553125,204.2865634347986,94,86,-18122.519464596462,129975.38740651493
1772320909.8167627,0.49166666666666664,-0.384375,170.4494059831245,95,86,-18108.785962554593,130033.31917927339
1772320909.9668465,0.7916666666666666,-0.184375,198.94974239742055,95,87,-18110.925866535392,130030.63218986319
1772320910.1292543,-0.3625,-0.040625,87.96590248499699,96,87,-18050.89796763485,129994.33020690747
1772320910.6501894,-0.4125,0.03125,99.50376877284599,96,88,-18032.58371423175,130001.81705045167
1772320910.822064,-0.25,0.08125,65.39113089708727,97,88,-18049.773660755443,129971.66999804937
1772320911.2718642,0.125,0.44375,145.13442045221387,97,89,-18067.302620020208,130307.47013790095
1772320911.9121408,0.95,0.275,244.39312592624205,97,90,-17687.96556380687,129714.94353216738
1772320912.0630312,0.5541666666666667,0.1,136.79546776117988,98,90,-17859.344422442897,129881.82124176169
1772320912.2436063,0.24583333333333332,-0.096875,66.64833081180653,99,90,-17905.876097923603,129782.87430385344
1772320912.3963077,-0.2375,-0.390625,137.38267721950973,99,91,-17929.376501724728,129991.45480275151
1772320912.5596247,-0.7083333333333334,-0.640625,266.3174797117155,99,92,-17520.48292829599,127995.95329361263
1772320912.9691195,-0.6625,-0.725,281.2561110447202,99,93,-17474.31734690836,127723.33934096333
1772320913.1394522,-0.31666666666666665,-0.58125,200.92784774639875,100,93,-17552.2894752158,128495.62319847819
1772320913.3229327,-0.075,-0.409375,132.23085872821065,101,93,-17567.213075495278,128935.17381929448
1772320913.497691,0.22916666666666666,-0.2,84.38601779915912,102,93,-17539.60254489868,129065.19857975368
1772320913.6440506,0.5666666666666667,0.00625,136.01470508735443,102,94,-17551.52590007007,129065.90806596189
1772320913.9142914,0.7541666666666667,0.128125,185.58555978308226,102,95,-17426.660514136438,128951.43741759907
1772320914.0607412,0.8791666666666667,0.240625,224.61077445216202,102,96,-17291.851085807142,128752.33672757802
1772320914.2294874,0.7125,0.18125,180.56854654119581,103,96,-17379.632509198036,128872.8340741754
1772320914.3910744,0.2916666666666667,-0.115625,79.17701686727027,104,96,-17461.741507446834,128697.18833039529
1772320914.5821235,-0.225,-0.384375,134.33167906342868,104,97,-17478.212467121986,128849.03130088416
1772320914.736864,-0.6958333333333333,-0.634375,262.86498435508673,104,98,-17085.39616886524,126916.59244785499
1772320915.0885766,-0.825,-0.740625,308.8251932728287,104,99,-16911.374475683537,126073.5966216421
1772320915.2516024,-0.425,-0.659375,234.3608329051593,105,99,-17007.464991524135,126878.05160223224
1772320915.4035914,-0.15833333333333333,-0.49375,162.50538452617502,106,99,-17040.571404239014,127435.13807983634
1772320915.5573986,0.17083333333333334,-0.303125,105.30906893520614,107,99,-17014.670639738462,127683.12884755366
1772320915.720518,0.4791666666666667,-0.08125,117.90250209389112,107,100,-17025.670921383535,127673.0641372118
1772320915.9822936,0.725,0.08125,175.93180496999398,107,101,-16925.54190461053,127612.5110954537
1772320916.142589,0.8708333333333333,0.19375,218.0022935659164,107,102,-16792.545195309518,127452.83808555854
1772320916.3110912,0.625,0.109375,154.02921800749363,108,102,-16898.186970046343,127552.59801843934
1772320916.4842572,0.2833333333333333,-0.1125,76.94153624668537,109,102,-16954.11395932139,127432.76974147037
1772320916.6408932,-0.2125,-0.353125,123.97580409095961,109,103,-16966.663419142602,127545.3077248662
1772320916.8197224,-0.6375,-0.609375,247.85883078881818,109,104,-16624.039757121158,125778.06055661324
1772320917.1811357,-0.7375,-0.6875,282.36324123369883,109,105,-16509.453393434564,125201.6644275872
1772320917.3494937,-0.37916666666666665,-0.628125,220.6399782451041,110,105,-16579.393267515934,125826.86347719104
1772320917.511587,-0.10833333333333334,-0.49375,160.12495120998477,111,105,-16598.052813464503,126285.76720052266
1772320917.6809568,0.17083333333333334,-0.3125,108.07867504739313,112,105,-16575.808183562618,126505.33850131722
1772320917.8371232,0.4791666666666667,-0.096875,119.10499569707393,112,106,-16585.695671443285,126494.5522043871
1772320918.1105764,0.7708333333333334,0.09375,187.41664813991312,112,107,-16472.76656657861,126420.43671132874
1772320918.2681324,0.8583333333333333,0.196875,215.41819793137256,112,108,-16386.813924442664,126314.05236119282
1772320918.4292328,0.625,0.103125,153.58710883404245,113,108,-16487.313098165057,126403.53295300422
1772320918.5747802,0.24166666666666667,-0.090625,64.8459713474939,114,108,-16540.59826331065,126295.70761005128
1772320918.7322571,-0.10416666666666667,-0.309375,102.1077861869505,114,109,-16545.651839229864,126376.70268839512
1772320918.8897054,-0.6041666666666666,-0.559375,230.36058690670154,114,110,-16239.36243238097,124846.488866615
1772320919.344518,-0.5416666666666666,-0.678125,252.96047122030745,114,111,-16184.950929236247,124478.91388807658
1772320919.5633123,-0.20833333333333334,-0.50625,169.54055562018192,115,111,-16235.262924841216,125138.62571598415
1772320919.7821217,0.15,-0.290625,99.72462083156798,116,111,-16207.239181170939,125431.60858376914
1772320919.9521666,0.425,-0.078125,105.01904589168576,116,112,-16211.630178198378,125427.25319992023
1772320920.1294303,0.6333333333333333,0.046875,152.73833834371774,116,113,-16145.922210285153,125401.00987144223
1772320920.2900836,0.7833333333333333,0.15625,194.53534383242547,116,114,-16036.774405158943,125283.52733527412
1772320920.4512718,0.5375,0.075,131.21356637177422,117,114,-16121.751028172474,125347.51042057438
1772320920.6161346,0.22083333333333333,-0.075,58.180752831155424,118,114,-16160.128715783707,125277.1774082556
1772320920.7687824,-0.275,-0.35625,131.7269904006009,118,115,-16188.715772605743,125477.0221531353
1772320920.9450781,-0.7458333333333333,-0.621875,267.6602323842674,118,116,-15747.6128412707,123492.40111449707
1772320921.363388,-0.7,-0.684375,276.0163038662753,118,117,-15722.06683605727,123357.62991425968
1772320921.518726,-0.35,-0.625,216.92394980729998,119,117,-15781.97670936205,123934.91157191868
1772320921.6836817,-0.15,-0.58125,189.45184084616332,120,117,-15793.305525017502,124171.79325129148
1772320921.8467894,0.14583333333333334,-0.315625,106.89246933250256,121,117,-15763.28774299054,124522.35654829531
1772320922.0042293,0.45416666666666666,-0.078125,111.83022847155415,121,118,-15767.993827308597,124517.98839281432
1772320922.2926905,0.7541666666666667,0.11875,184.94593804677083,121,119,-15649.096234599518,124416.96282184107
1772320922.465033,0.7958333333333333,0.15625,197.43606560099397,121,120,-15613.930185899573,124379.70605808256
1772320922.6339886,0.5875,0.08125,143.37712509323097,122,120,-15691.276869050438,124437.42791297036
1772320922.804074,0.21666666666666667,-0.14375,69.42621983083913,123,120,-15728.464638572108,124304.29058602946
1772320922.9831808,-0.2375,-0.38125,134.65882815471105,123,121,-15729.4321440917,124312.68184449573
1772320923.1521616,-0.6791666666666667,-0.609375,254.15349692656207,123,122,-15389.907547014489,122668.85864330406
1772320923.5648043,-0.6208333333333333,-0.734375,278.25527847643787,123,123,-15325.513721120844,122257.83687802017
1772320923.711873,-0.24583333333333332,-0.546875,184.67809832245945,124,123,-15390.379803645368,123036.48571779618
1772320923.8681343,-0.04583333333333333,-0.409375,131.4610208388783,125,123,-15396.81960697455,123346.86094910614
